full_fips,api_med_income,api_month_med_income
23025,22511,1875.91666666667
24047,31891,2657.58333333333
24041,36755,3062.91666666667
25001,36031,3002.58333333333
25003,30873,2572.75
25023,39644,3303.66666666667
25021,46624,3885.33333333333
25019,44630,3719.16666666667
26005,30827,2568.91666666667
26003,22430,1869.16666666667
26127,24491,2040.91666666667
26035,21058,1754.83333333333
26073,18007,1500.58333333333
26157,25806,2150.5
26007,24584,2048.66666666667
26111,30833,2569.41666666667
26135,24163,2013.58333333333
26037,35099,2924.91666666667
26057,25803,2150.25
26091,28228,2352.33333333333
26117,25605,2133.75
26147,28654,2387.83333333333
26161,33914,2826.16666666667
26027,29198,2433.16666666667
26143,22948,1912.33333333333
26023,27280,2273.33333333333
26075,28006,2333.83333333333
26099,31619,2634.91666666667
26013,25371,2114.25
26045,33721,2810.08333333333
13293,23152,1929.33333333333
13303,22101,1841.75
13311,27752,2312.66666666667
13225,23739,1978.25
13223,33102,2758.5
13229,21531,1794.25
13231,32228,2685.66666666667
13245,22300,1858.33333333333
13251,23234,1936.16666666667
13267,19892,1657.66666666667
13019,24287,2023.91666666667
17135,27335,2277.91666666667
17195,27944,2328.66666666667
17001,30499,2541.58333333333
17027,34187,2848.91666666667
17037,28262,2355.16666666667
17047,29449,2454.08333333333
17079,26881,2240.08333333333
17081,26679,2223.25
17183,27550,2295.83333333333
17197,37319,3109.91666666667
17199,27489,2290.75
17023,31515,2626.25
17041,30459,2538.25
17049,30369,2530.75
17057,26843,2236.91666666667
17061,25938,2161.5
17065,28482,2373.5
17069,23420,1951.66666666667
17073,31155,2596.25
17087,28494,2374.5
17095,25366,2113.83333333333
17105,29147,2428.91666666667
17171,30248,2520.66666666667
17179,33800,2816.66666666667
17187,26774,2231.16666666667
18061,29102,2425.16666666667
18091,28152,2346
18169,27759,2313.25
18073,30626,2552.16666666667
18101,30664,2555.33333333333
18127,33572,2797.66666666667
18137,28891,2407.58333333333
18147,30798,2566.5
18159,33733,2811.08333333333
18167,23583,1965.25
18173,35851,2987.58333333333
18033,30167,2513.91666666667
18087,30961,2580.08333333333
18139,30705,2558.75
18011,41956,3496.33333333333
26053,22865,1905.41666666667
27093,31707,2642.25
27131,31174,2597.83333333333
27125,32688,2724
27027,32368,2697.33333333333
27045,32371,2697.58333333333
27119,31715,2642.91666666667
27143,33260,2771.66666666667
27165,30366,2530.5
27011,28857,2404.75
27021,28473,2372.75
27057,28734,2394.5
27091,31103,2591.91666666667
27105,30221,2518.41666666667
27141,39364,3280.33333333333
27019,45984,3832
27085,33379,2781.58333333333
27123,33150,2762.5
27169,27433,2286.08333333333
27039,39182,3265.16666666667
27035,30326,2527.16666666667
27171,40495,3374.58333333333
27081,30744,2562
27095,28194,2349.5
27017,31007,2583.91666666667
27065,29092,2424.33333333333
01115,28940,2411.66666666667
01043,24163,2013.58333333333
01069,25191,2099.25
01125,25278,2106.5
01031,28172,2347.66666666667
01021,24132,2011
01037,20110,1675.83333333333
01055,23677,1973.08333333333
01075,21355,1779.58333333333
01013,19685,1640.41666666667
01127,24078,2006.5
01063,16949,1412.41666666667
01011,21571,1797.58333333333
01017,22754,1896.16666666667
02100,34411,2867.58333333333
02110,42746,3562.16666666667
02290,19238,1603.16666666667
02068,26630,2219.16666666667
02105,28750,2395.83333333333
02275,27083,2256.91666666667
04019,27279,2273.25
04007,24681,2056.75
04003,25573,2131.08333333333
04001,20596,1716.33333333333
04027,24291,2024.25
04017,21256,1771.33333333333
05021,21479,1789.91666666667
05043,24236,2019.66666666667
05121,21347,1778.91666666667
05009,23999,1999.91666666667
05079,21875,1822.91666666667
05035,23938,1994.83333333333
05045,27130,2260.83333333333
13295,23631,1969.25
13135,32482,2706.83333333333
13013,28741,2395.08333333333
13049,21198,1766.5
13065,21190,1765.83333333333
13015,29584,2465.33333333333
13097,30782,2565.16666666667
13131,24093,2007.75
13141,21759,1813.25
13313,26202,2183.5
13193,20249,1687.41666666667
13285,24771,2064.25
13145,32702,2725.16666666667
13249,27516,2293
13321,25104,2092
13093,21136,1761.33333333333
13109,22803,1900.25
13307,24180,2015
13103,32482,2706.83333333333
13125,25696,2141.33333333333
13239,18741,1561.75
13051,28791,2399.25
13167,21300,1775
13173,21819,1818.25
13195,27236,2269.66666666667
13205,22058,1838.16666666667
13277,24370,2030.83333333333
13233,24758,2063.16666666667
13263,21681,1806.75
13273,20089,1674.08333333333
13275,25366,2113.83333333333
13319,22110,1842.5
13221,24739,2061.58333333333
13243,16983,1415.25
13299,23597,1966.41666666667
13305,22399,1866.58333333333
13315,20837,1736.41666666667
13009,22750,1895.83333333333
13031,21375,1781.25
13061,15701,1308.41666666667
13101,24410,2034.16666666667
13089,32501,2708.41666666667
13143,25884,2157
13163,19890,1657.5
13181,24732,2061
13213,25683,2140.25
13235,21508,1792.33333333333
13241,22523,1876.91666666667
13281,21497,1791.41666666667
13283,19712,1642.66666666667
13155,21059,1754.91666666667
13001,22607,1883.91666666667
39149,31569,2630.75
39171,28748,2395.66666666667
39029,25791,2149.25
39051,30572,2547.66666666667
39053,24975,2081.25
39099,25689,2140.75
39145,23011,1917.58333333333
39117,30734,2561.16666666667
05089,19980,1665
05129,19255,1604.58333333333
05007,33141,2761.75
05059,22711,1892.58333333333
05087,22565,1880.41666666667
08033,29894,2491.16666666667
08057,24571,2047.58333333333
08083,26901,2241.75
08013,36794,3066.16666666667
08125,30905,2575.41666666667
08107,37368,3114
08019,34483,2873.58333333333
08101,25166,2097.16666666667
08093,32731,2727.58333333333
08077,28267,2355.58333333333
08041,32586,2715.5
08005,38273,3189.41666666667
10003,36458,3038.16666666667
10001,30327,2527.25
09005,39166,3263.83333333333
12099,30762,2563.5
12086,24787,2065.58333333333
12037,24823,2068.58333333333
12047,20544,1712
12119,27579,2298.25
12059,21699,1808.25
12071,28529,2377.41666666667
12021,31213,2601.08333333333
12101,27455,2287.91666666667
12055,22059,1838.25
12027,21509,1792.41666666667
12023,25790,2149.16666666667
12107,21486,1790.5
12125,23031,1919.25
12075,21676,1806.33333333333
12127,26792,2232.66666666667
12079,21243,1770.25
12033,26946,2245.5
12091,31212,2601
13187,23480,1956.66666666667
13201,26377,2198.08333333333
13219,39118,3259.83333333333
13151,33610,2800.83333333333
13183,29660,2471.66666666667
13257,23834,1986.16666666667
13161,20689,1724.08333333333
13037,20638,1719.83333333333
13021,24804,2067
13197,25227,2102.25
13023,25249,2104.08333333333
13119,22850,1904.16666666667
13171,22216,1851.33333333333
13107,21314,1776.16666666667
13159,25112,2092.66666666667
13179,28879,2406.58333333333
13253,22414,1867.83333333333
13289,25026,2085.5
13269,23041,1920.08333333333
13279,22909,1909.08333333333
39135,29908,2492.33333333333
39003,26965,2247.08333333333
39033,25969,2164.08333333333
39059,25942,2161.83333333333
39107,31890,2657.5
39023,26850,2237.5
39093,30222,2518.5
39113,28867,2405.58333333333
39165,41155,3429.58333333333
39007,25123,2093.58333333333
40071,25560,2130
40035,22208,1850.66666666667
40017,33213,2767.75
40077,21946,1828.83333333333
