fips,county,state,iso_3166_2,total_homeowners,total_mortgages,predicted_foreclosure_rate,white_ho_share,RGDP_2012,unemp_rate,api_total_med_owner_cost,api_w_mort_med_owner_cost,api_w_o_mort_med_owner_cost,api_share_never_married,api_share_married,api_share_divorced,api_share_separated,api_share_widowed,api_share_other_than_married,api_share_less_hs,api_share_hs_or_equiv,api_share_some_col_or_assoc,api_share_bachelor,api_share_grad_or_prof,api_month_med_income,api_cost_to_income_ratio
13231,Pike County,Georgia,GA,4393,2539,0.012,0.889,286221,0.0315100410518141,1013,1353,448,0.268211920529801,0.553532008830022,0.0854718543046358,0.0117273730684327,0.0810568432671082,0.446467991169978,0.115950461308287,0.412102069653395,0.292411270883551,0.0987449089851218,0.0807912891696451,2685.66666666667,0.377187538786148
13235,Pulaski County,Georgia,GA,2792,1903,0.014,0.786,274112,0.0399901864573111,548,1090,348,0.339131362714758,0.398996905346281,0.148116529719347,0.0115249172980472,0.102230284921567,0.601003094653719,0.175945708181475,0.378911650119392,0.315194168656529,0.0666080180972729,0.0633404549453312,1792.33333333333,0.305746698902734
13241,Rabun County,Georgia,GA,5006,2627,0.004,0.961,492062,0.0363859362224039,582,1278,401,0.251220350635957,0.506015812994156,0.130904090752836,0.0197318666208319,0.0921278789962186,0.493984187005844,0.150730098916627,0.331841733396138,0.281284346051185,0.125215889464594,0.110927932171455,1876.91666666667,0.310083026239843
13247,Rockdale County,Georgia,GA,20808,14924,0.028,0.446,3541223,0.0397638323567563,1102,1370,384,0.350110790115839,0.465066053347544,0.115418057386475,0.016660589571705,0.0527445095784366,0.534933946652456,0.114011437206986,0.308598512819632,0.315210111452663,0.174460338994694,0.0877195995260257,2617.25,0.421052631578947
13255,Spalding County,Georgia,GA,15804,9134,0.014,0.75,1977588,0.0417201763215439,845,1157,431,0.330001854255516,0.422399406638235,0.149990728722418,0.0320600778787317,0.0655479325050992,0.577600593361765,0.181409525480221,0.392947987018683,0.245943338303658,0.115932812911148,0.0637663362862907,2067.08333333333,0.408788550695425
13257,Stephens County,Georgia,GA,6893,3198,0.007,0.897,906789,0.0391164289001381,614,1103,369,0.246161939834521,0.534267540293653,0.117365727677077,0.0294609976565115,0.0727437945382371,0.465732459706347,0.182856149298713,0.389301031644836,0.21809435493219,0.119624434913643,0.0901240292106178,1986.16666666667,0.309138205924309
13267,Tattnall County,Georgia,GA,5525,2323,0.016,0.759,619458,0.0390393459376597,558,1027,374,0.307011350676153,0.456090805409222,0.133221093792429,0.0287297018410905,0.0749470482811057,0.543909194590778,0.2327336771921,0.366083784123789,0.260787520442823,0.0781230343439426,0.0622719838973456,1657.66666666667,0.336617735773175
13269,Taylor County,Georgia,GA,2132,1032,0.013,0.679,211859,0.0427069645203679,562,1029,404,0.352346461445601,0.443186962426437,0.0808812433982194,0.0487400030179568,0.0748453297117851,0.556813037573563,0.219887701503351,0.372396305017207,0.287266799492846,0.0815069733743887,0.0389422206122079,1920.08333333333,0.292695629529969
20183,Smith County,Kansas,KS,1123,513,0.007,0.973,180336,0.0254872563718141,532,994,402,0.153168417485598,0.662148424262962,0.0948830904778041,0.00948830904778041,0.0803117587258556,0.337851575737038,0.0675324675324675,0.352133580705009,0.355473098330241,0.170686456400742,0.0541743970315399,2144.91666666667,0.248028283927114
20187,Stanton County,Kansas,KS,469,239,0.022,0.78,206652,0.026,549,1234,407,0.275,0.5775,0.061875,0.00375,0.081875,0.4225,0.211782252050708,0.318419090231171,0.29082774049217,0.154362416107383,0.0246085011185682,2676.75,0.205099467637994
